Student_ID,placement_status,salary_lpa
155,Placed,18.42
156,Not Placed,0.0
157,Placed,19.63
158,Placed,11.41
159,Placed,15.3
160,Placed,14.43
161,Not Placed,0.0
162,Placed,15.66
163,Placed,16.6
164,Placed,10.4
165,Placed,17.42
166,Placed,13.29
167,Placed,19.33
168,Placed,13.39
169,Placed,14.13
170,Placed,18.77
171,Placed,12.78
172,Placed,15.98
173,Placed,17.78
174,Placed,20.0
175,Placed,20.0
176,Placed,18.33
177,Placed,17.8
178,Placed,12.45
179,Placed,9.39
180,Placed,18.74
181,Placed,18.94
182,Placed,18.94
183,Placed,16.94
184,Placed,17.8
185,Placed,20.0
186,Placed,19.51
187,Placed,10.91
188,Not Placed,0.0
189,Placed,19.51
190,Placed,20.0
191,Placed,12.89
192,Placed,13.67
193,Placed,9.37
194,Placed,10.93
195,Placed,12.8
196,Placed,8.42
197,Placed,19.68
198,Placed,16.33
199,Placed,18.58
200,Placed,19.08
201,Placed,14.46
202,Placed,14.28
203,Placed,13.4
204,Placed,16.71
205,Placed,16.95
206,Placed,10.63
207,Placed,16.21
208,Placed,10.95
209,Placed,12.82
210,Not Placed,0.0
211,Placed,19.42
212,Placed,16.41
213,Placed,14.66
214,Placed,17.83
215,Not Placed,0.0
216,Placed,9.74
217,Placed,15.14
218,Placed,20.0
219,Not Placed,0.0
220,Placed,19.34
221,Placed,10.23
222,Placed,16.48
223,Placed,12.92
224,Placed,16.42
225,Placed,9.9
226,Placed,16.34
227,Placed,19.93
228,Placed,16.71
229,Placed,15.96
230,Placed,9.31
231,Placed,13.32
232,Not Placed,0.0
233,Placed,12.92
234,Placed,9.73
235,Placed,12.84
236,Placed,16.19
237,Not Placed,0.0
238,Placed,15.73
239,Placed,18.24
240,Not Placed,0.0
241,Placed,20.0
242,Placed,12.18
243,Not Placed,0.0
244,Placed,17.61
245,Not Placed,0.0
246,Placed,11.92
247,Placed,20.0
248,Placed,20.0
249,Placed,17.42
250,Placed,17.14
251,Placed,20.0
252,Placed,15.22
253,Placed,14.78
254,Placed,16.21
255,Placed,14.88
256,Placed,18.45
257,Placed,20.0
258,Not Placed,0.0
259,Not Placed,0.0
260,Placed,18.53
261,Placed,19.96
262,Placed,19.15
263,Placed,8.44
264,Placed,15.04
265,Placed,16.61
266,Placed,15.99
267,Placed,18.3
268,Not Placed,0.0
269,Not Placed,0.0
270,Placed,17.43
271,Placed,16.65
272,Placed,9.14
273,Placed,12.77
274,Placed,15.64
275,Placed,17.0
276,Placed,15.26
277,Placed,16.11
278,Placed,20.0
279,Placed,18.34
280,Placed,16.6
281,Placed,20.0
282,Placed,18.9
283,Placed,16.41
284,Placed,20.0
285,Placed,17.53
286,Not Placed,0.0
287,Placed,17.46
288,Placed,17.01
289,Placed,19.43
290,Placed,13.59
291,Placed,16.49
292,Placed,20.0
293,Placed,14.64
294,Placed,13.34
295,Placed,15.51
296,Placed,15.57
297,Placed,18.33
298,Not Placed,0.0
299,Placed,9.18
300,Placed,17.23
301,Placed,17.98
302,Placed,19.89
303,Placed,11.19
304,Placed,20.0
305,Placed,16.0
306,Placed,10.98
307,Placed,12.28
308,Placed,18.49
309,Placed,13.52
310,Placed,12.59
311,Placed,17.73
312,Placed,20.0
313,Placed,16.95
314,Not Placed,0.0
315,Placed,16.85
316,Placed,18.37
317,Placed,18.87
318,Placed,12.7
319,Placed,20.0
320,Placed,15.03
321,Placed,19.54
322,Placed,18.55
323,Not Placed,0.0
324,Placed,14.7
325,Placed,16.39
326,Not Placed,0.0
327,Placed,18.7
328,Placed,16.79
329,Placed,14.95
330,Placed,18.56
331,Placed,19.27
332,Placed,16.65
333,Placed,20.0
334,Not Placed,0.0
335,Placed,19.76
336,Placed,11.2
337,Placed,16.48
338,Placed,16.25
339,Placed,19.1
340,Placed,15.16
341,Placed,15.82
342,Placed,9.89
343,Placed,17.59
344,Placed,12.39
345,Placed,15.44
346,Placed,18.73
347,Placed,16.14
348,Placed,13.03
349,Not Placed,0.0
350,Placed,19.95
351,Not Placed,0.0
352,Placed,17.04
353,Placed,13.58
354,Placed,16.03
355,Placed,15.09
356,Not Placed,0.0
357,Placed,20.0
358,Placed,16.66
359,Placed,11.83
360,Not Placed,0.0
361,Placed,12.6
362,Placed,14.19
363,Placed,18.6
364,Not Placed,0.0
365,Placed,9.6
366,Placed,16.13
367,Placed,14.69
368,Not Placed,0.0
369,Placed,16.11
370,Placed,20.0
371,Not Placed,0.0
372,Placed,15.48
373,Placed,14.28
374,Placed,15.35
375,Placed,19.51
376,Placed,14.28
377,Placed,12.27
378,Placed,15.98
379,Placed,15.56
380,Not Placed,0.0
381,Not Placed,0.0
382,Placed,17.11
383,Placed,13.61
384,Not Placed,0.0
385,Placed,14.66
386,Placed,16.9
387,Placed,18.95
388,Placed,12.11
389,Placed,18.84
390,Placed,16.81
391,Placed,16.38
392,Placed,8.66
393,Placed,11.82
394,Placed,12.8
395,Placed,13.98
396,Placed,17.78
397,Placed,18.85
398,Placed,16.07
399,Placed,14.85
400,Placed,14.51
401,Placed,16.56
402,Placed,18.91
403,Placed,11.07
404,Placed,14.31
405,Placed,17.75
406,Placed,14.69
407,Placed,20.0
408,Placed,12.32
409,Placed,17.32
410,Placed,15.36
411,Placed,15.79
412,Placed,16.79
413,Placed,16.27
414,Placed,18.43
415,Not Placed,0.0
416,Placed,16.63
417,Placed,12.7
418,Placed,9.05
419,Placed,16.98
420,Placed,14.27
421,Placed,18.58
422,Placed,14.13
423,Placed,10.06
424,Not Placed,0.0
425,Placed,8.94
426,Placed,10.89
427,Placed,20.0
428,Placed,16.44
429,Placed,14.22
430,Not Placed,0.0
431,Not Placed,0.0
432,Placed,15.18
433,Placed,18.19
434,Placed,20.0
435,Placed,15.84
436,Not Placed,0.0
437,Placed,16.78
438,Not Placed,0.0
439,Placed,19.7
440,Placed,12.48
441,Placed,15.61
442,Placed,20.0
443,Placed,17.16
444,Placed,17.79
445,Placed,11.61
446,Placed,20.0
447,Placed,10.3
448,Placed,15.59
449,Placed,15.49
450,Not Placed,0.0
451,Placed,20.0
452,Placed,17.88
453,Placed,19.57
454,Placed,16.39
455,Placed,14.77
456,Placed,19.01
457,Placed,16.02
458,Not Placed,0.0
459,Placed,16.89
460,Placed,12.62
461,Placed,15.69
462,Placed,18.27
463,Placed,18.57
464,Not Placed,0.0
465,Not Placed,0.0
466,Not Placed,0.0
467,Not Placed,0.0
468,Placed,19.68
469,Placed,12.99
470,Placed,17.38
471,Not Placed,0.0
472,Not Placed,0.0
473,Not Placed,0.0
474,Placed,11.99
475,Not Placed,0.0
476,Placed,20.0
477,Placed,15.19
478,Placed,14.91
479,Placed,18.61
480,Placed,18.01
481,Not Placed,0.0
482,Placed,13.82
483,Not Placed,0.0
484,Placed,11.73
485,Placed,14.41
486,Placed,20.0
487,Placed,18.4
488,Placed,14.44
489,Placed,10.35
490,Placed,20.0
491,Placed,20.0
492,Placed,13.59
493,Placed,13.15
494,Placed,20.0
495,Placed,18.25
496,Placed,20.0
497,Placed,17.02
498,Placed,11.56
499,Placed,16.84
500,Placed,10.53
501,Placed,10.93
502,Placed,18.31
503,Placed,15.51
504,Placed,12.48
505,Placed,19.01
506,Not Placed,0.0
507,Not Placed,0.0
508,Placed,18.49
509,Placed,20.0
510,Placed,13.65
511,Placed,17.77
512,Placed,20.0
513,Placed,18.13
514,Placed,13.82
515,Placed,10.53
516,Placed,12.08
517,Placed,15.76
518,Not Placed,0.0
519,Placed,20.0
520,Placed,8.51
521,Placed,16.97
522,Placed,15.56
523,Placed,20.0
524,Not Placed,0.0
525,Placed,20.0
526,Placed,17.77
527,Placed,15.66
528,Placed,13.92
529,Placed,11.41
530,Placed,16.87
531,Placed,17.04
532,Placed,14.93
533,Placed,15.64
534,Placed,12.66
535,Placed,20.0
536,Placed,19.66
537,Placed,15.58
538,Placed,16.22
539,Placed,14.75
540,Placed,20.0
541,Not Placed,0.0
542,Placed,15.7
543,Placed,9.24
544,Placed,14.08
545,Placed,12.77
546,Placed,19.59
547,Placed,18.58
548,Not Placed,0.0
549,Placed,20.0
550,Placed,20.0
551,Placed,15.38
552,Not Placed,0.0
553,Placed,17.41
554,Placed,10.61
555,Placed,15.58
556,Not Placed,0.0
557,Not Placed,0.0
558,Not Placed,0.0
559,Placed,19.38
560,Placed,15.49
561,Placed,16.2
562,Placed,20.0
563,Placed,17.19
564,Placed,14.5
565,Placed,20.0
566,Not Placed,0.0
567,Not Placed,0.0
568,Placed,16.77
569,Placed,20.0
570,Placed,16.27
571,Placed,18.38
572,Placed,18.4
573,Placed,13.34
574,Placed,17.03
575,Not Placed,0.0
576,Placed,20.0
577,Placed,19.44
578,Placed,14.13
579,Placed,16.03
580,Placed,16.69
581,Placed,19.07
582,Placed,20.0
583,Placed,20.0
584,Not Placed,0.0
585,Placed,12.07
586,Placed,20.0
587,Placed,17.63
588,Placed,11.21
589,Placed,20.0
590,Placed,16.02
591,Placed,20.0
592,Placed,12.73
593,Placed,15.47
594,Placed,17.8
595,Placed,17.94
596,Placed,11.65
597,Placed,16.74
598,Not Placed,0.0
599,Placed,12.33
600,Placed,16.28
601,Not Placed,0.0
602,Not Placed,0.0
603,Placed,11.33
604,Placed,14.42
605,Not Placed,0.0
606,Not Placed,0.0
607,Placed,20.0
608,Placed,20.0
609,Placed,14.9
610,Placed,10.8
611,Placed,14.82
612,Placed,12.75
613,Not Placed,0.0
614,Placed,15.43
615,Placed,20.0
616,Placed,18.77
617,Placed,11.92
618,Placed,18.76
619,Placed,19.21
620,Placed,18.38
621,Placed,19.08
622,Placed,20.0
623,Placed,19.07
624,Placed,17.92
625,Placed,20.0
626,Placed,14.89
627,Placed,12.95
628,Placed,10.49
629,Placed,14.3
630,Placed,20.0
631,Placed,11.18
632,Placed,13.76
633,Placed,18.0
634,Placed,16.48
635,Placed,20.0
636,Placed,17.88
637,Placed,17.61
638,Placed,15.18
639,Placed,15.24
640,Placed,20.0
641,Placed,16.95
642,Placed,18.51
643,Placed,16.62
644,Placed,18.89
645,Placed,9.56
646,Placed,16.31
647,Placed,14.94
648,Not Placed,0.0
649,Placed,9.77
650,Not Placed,0.0
651,Placed,11.56
652,Placed,17.14
653,Placed,12.29
654,Placed,17.6
655,Placed,20.0
656,Placed,18.74
657,Not Placed,0.0
658,Placed,20.0
659,Not Placed,0.0
660,Placed,11.29
661,Placed,15.44
662,Placed,12.64
663,Placed,15.59
664,Placed,16.16
665,Not Placed,0.0
666,Placed,14.29
667,Not Placed,0.0
668,Placed,16.85
669,Placed,13.74
670,Placed,13.92
671,Placed,18.46
672,Placed,11.44
673,Not Placed,0.0
674,Placed,14.07
675,Placed,17.61
676,Not Placed,0.0
677,Placed,12.42
678,Placed,17.72
679,Placed,20.0
680,Placed,16.53
681,Placed,11.44
682,Placed,13.33
683,Placed,10.81
684,Placed,14.63
685,Placed,20.0
686,Placed,8.9
687,Not Placed,0.0
688,Placed,12.35
689,Placed,20.0
690,Placed,11.95
691,Placed,16.47
692,Placed,17.13
693,Placed,15.46
694,Not Placed,0.0
695,Not Placed,0.0
696,Placed,11.96
697,Placed,17.28
698,Placed,19.63
699,Placed,18.34
700,Placed,19.23
701,Placed,17.98
702,Not Placed,0.0
703,Placed,15.74
704,Placed,18.72
705,Placed,19.0
706,Placed,18.39
707,Placed,20.0
708,Placed,17.02
709,Placed,14.94
710,Not Placed,0.0
711,Placed,17.28
712,Placed,18.83
713,Placed,15.71
714,Placed,17.58
715,Not Placed,0.0
716,Placed,17.81
717,Placed,19.89
718,Placed,17.86
719,Placed,14.28
720,Placed,20.0
721,Placed,17.27
722,Placed,15.95
723,Placed,17.37
724,Placed,20.0
725,Placed,19.19
726,Not Placed,0.0
727,Not Placed,0.0
728,Placed,20.0
729,Placed,18.45
730,Placed,18.0
731,Placed,14.79
732,Not Placed,0.0
733,Placed,11.62
734,Placed,11.62
735,Placed,16.47
736,Placed,15.21
737,Placed,10.74
738,Placed,14.02
739,Placed,15.21
740,Not Placed,0.0
741,Placed,20.0
742,Placed,12.98
743,Placed,16.53
744,Placed,18.02
745,Placed,14.16
746,Placed,15.17
747,Placed,17.37
748,Placed,10.78
749,Placed,16.11
750,Placed,13.72
751,Placed,19.82
752,Placed,17.01
753,Placed,18.02
754,Placed,13.99
755,Placed,17.09
756,Placed,16.78
757,Placed,13.42
758,Not Placed,0.0
759,Placed,16.03
760,Placed,9.69
761,Placed,10.13
762,Placed,10.75
763,Placed,20.0
764,Placed,16.56
765,Placed,17.99
766,Placed,14.63
767,Placed,17.95
768,Placed,13.22
769,Placed,16.88
770,Placed,19.59
771,Not Placed,0.0
772,Placed,15.17
773,Placed,19.72
774,Placed,16.1
775,Placed,15.69
776,Not Placed,0.0
777,Placed,18.13
778,Placed,15.03
779,Placed,19.02
780,Not Placed,0.0
781,Placed,17.02
782,Placed,17.99
783,Placed,15.85
784,Placed,19.51
785,Placed,11.98
786,Placed,17.81
787,Not Placed,0.0
788,Placed,17.86
789,Placed,20.0
790,Placed,12.99
791,Not Placed,0.0
792,Placed,12.04
793,Placed,11.98
794,Placed,13.68
795,Not Placed,0.0
796,Not Placed,0.0
797,Placed,16.71
798,Placed,9.05
799,Placed,20.0
800,Placed,19.57
801,Placed,20.0
802,Placed,14.41
803,Placed,15.5
804,Not Placed,0.0
805,Placed,15.34
806,Placed,20.0
807,Placed,10.77
808,Placed,20.0
809,Placed,10.54
810,Placed,19.58
811,Placed,20.0
812,Placed,17.16
813,Placed,14.86
814,Placed,17.76
815,Placed,15.46
816,Placed,16.4
817,Placed,19.2
818,Placed,17.77
819,Placed,18.92
820,Placed,20.0
821,Placed,12.69
822,Placed,14.62
823,Placed,11.65
824,Placed,12.24
825,Placed,14.65
826,Placed,20.0
827,Placed,12.92
828,Placed,16.19
829,Placed,19.66
830,Not Placed,0.0
831,Placed,19.5
832,Placed,7.79
833,Placed,17.26
834,Placed,20.0
835,Placed,14.46
836,Placed,11.31
837,Placed,17.0
838,Placed,13.65
839,Placed,17.57
840,Not Placed,0.0
841,Placed,9.93
842,Placed,20.0
843,Placed,13.33
844,Placed,13.83
845,Placed,20.0
846,Placed,18.42
847,Placed,15.24
848,Placed,13.02
849,Placed,11.23
850,Placed,12.78
851,Placed,20.0
852,Placed,18.31
853,Placed,18.06
854,Not Placed,0.0
855,Not Placed,0.0
856,Placed,19.44
857,Placed,16.21
858,Placed,16.85
859,Placed,12.36
860,Placed,16.09
861,Placed,17.07
862,Placed,14.09
863,Placed,18.13
864,Placed,20.0
865,Placed,15.33
866,Placed,11.99
867,Placed,12.42
868,Placed,20.0
869,Placed,19.79
870,Not Placed,0.0
871,Placed,20.0
872,Placed,20.0
873,Not Placed,0.0
874,Placed,11.83
875,Placed,20.0
876,Placed,20.0
877,Placed,16.97
878,Placed,9.16
879,Placed,15.79
880,Placed,14.52
881,Placed,11.38
882,Not Placed,0.0
883,Placed,12.57
884,Placed,14.96
885,Placed,14.66
886,Placed,12.89
887,Not Placed,0.0
888,Placed,19.62
889,Placed,16.64
890,Placed,12.55
891,Placed,12.9
892,Placed,17.8
893,Placed,14.36
894,Placed,19.0
895,Placed,15.9
896,Placed,16.93
897,Placed,16.22
898,Placed,18.23
899,Placed,15.39
900,Placed,15.57
901,Not Placed,0.0
902,Not Placed,0.0
903,Placed,13.1
904,Not Placed,0.0
905,Placed,19.34
906,Placed,9.46
907,Placed,13.51
908,Placed,10.44
909,Placed,18.55
910,Placed,19.37
911,Placed,19.26
912,Placed,19.08
913,Not Placed,0.0
914,Not Placed,0.0
915,Not Placed,0.0
916,Placed,20.0
917,Not Placed,0.0
918,Placed,11.52
919,Placed,14.48
920,Placed,12.5
921,Placed,14.54
922,Placed,14.68
923,Placed,13.15
924,Placed,13.95
925,Placed,12.07
926,Not Placed,0.0
927,Placed,19.69
928,Not Placed,0.0
929,Placed,14.22
930,Placed,20.0
931,Placed,20.0
932,Placed,15.43
933,Placed,18.65
934,Placed,20.0
935,Placed,18.58
936,Placed,14.78
937,Placed,20.0
938,Placed,18.25
939,Placed,15.61
940,Placed,16.96
941,Placed,11.48
942,Not Placed,0.0
943,Placed,18.35
944,Placed,15.21
945,Not Placed,0.0
946,Placed,11.2
947,Placed,14.97
948,Placed,12.32
949,Not Placed,0.0
950,Placed,20.0
951,Not Placed,0.0
952,Placed,16.32
953,Placed,18.92
954,Placed,15.64
955,Placed,14.62
956,Placed,13.73
957,Placed,13.56
958,Placed,15.91
959,Placed,18.03
960,Placed,13.5
961,Placed,14.23
962,Placed,8.86
963,Placed,16.3
964,Placed,10.14
965,Placed,17.6
966,Placed,14.98
967,Placed,16.21
968,Placed,16.01
969,Placed,16.99
970,Placed,15.31
971,Placed,12.05
972,Not Placed,0.0
973,Placed,20.0
974,Placed,15.09
975,Placed,17.95
976,Not Placed,0.0
977,Placed,20.0
978,Placed,14.94
979,Placed,18.36
980,Placed,15.08
981,Placed,10.24
982,Placed,20.0
983,Not Placed,0.0
984,Placed,11.55
985,Placed,16.58
986,Placed,13.79
987,Placed,16.75
988,Placed,20.0
989,Placed,12.86
990,Placed,15.16
991,Placed,15.83
992,Placed,13.38
993,Not Placed,0.0
994,Placed,20.0
995,Placed,14.96
996,Placed,10.41
997,Placed,13.14
998,Placed,13.9
999,Placed,15.04
1000,Placed,17.59
1001,Placed,17.88
1002,Placed,20.0
1003,Not Placed,0.0
1004,Placed,8.79
1005,Placed,20.0
1006,Placed,13.9
1007,Placed,12.82
1008,Placed,13.35
1009,Placed,17.06
1010,Placed,13.42
1011,Placed,18.34
1012,Placed,18.45
1013,Placed,18.58
1014,Placed,19.87
1015,Placed,20.0
1016,Not Placed,0.0
1017,Placed,12.84
1018,Placed,16.75
1019,Placed,18.79
1020,Placed,15.37
1021,Placed,17.5
1022,Placed,19.27
1023,Placed,15.84
1024,Placed,19.56
1025,Placed,20.0
1026,Placed,18.76
1027,Placed,20.0
1028,Placed,19.32
1029,Not Placed,0.0
1030,Placed,14.62
1031,Placed,12.81
1032,Placed,16.79
1033,Placed,11.31
1034,Placed,7.85
1035,Placed,9.48
1036,Placed,14.56
1037,Not Placed,0.0
1038,Placed,17.64
1039,Placed,15.12
1040,Not Placed,0.0
1041,Placed,19.41
1042,Placed,18.5
1043,Placed,10.43
1044,Not Placed,0.0
1045,Placed,15.33
1046,Placed,16.19
1047,Placed,18.37
1048,Placed,18.32
1049,Not Placed,0.0
1050,Placed,14.98
1051,Placed,15.51
1052,Not Placed,0.0
1053,Placed,15.78
1054,Placed,15.15
1055,Not Placed,0.0
1056,Placed,13.4
1057,Placed,15.3
1058,Placed,18.3
1059,Placed,20.0
1060,Placed,18.2
1061,Placed,17.17
1062,Placed,9.77
1063,Placed,11.54
1064,Placed,17.02
1065,Placed,19.59
1066,Placed,11.06
1067,Not Placed,0.0
1068,Placed,11.06
1069,Not Placed,0.0
1070,Placed,14.02
1071,Not Placed,0.0
1072,Placed,19.37
1073,Placed,20.0
1074,Placed,17.3
1075,Placed,10.37
1076,Placed,20.0
1077,Placed,9.4
1078,Placed,15.46
1079,Placed,9.86
1080,Placed,9.98
1081,Not Placed,0.0
1082,Not Placed,0.0
1083,Placed,17.89
1084,Placed,16.83
1085,Placed,14.77
1086,Placed,20.0
1087,Placed,13.64
1088,Placed,20.0
1089,Not Placed,0.0
1090,Placed,19.46
1091,Placed,11.7
1092,Placed,11.63
1093,Placed,18.66
1094,Placed,17.1
1095,Placed,16.63
1096,Placed,10.54
1097,Placed,17.81
1098,Placed,20.0
1099,Placed,17.72
1100,Placed,18.55
1101,Placed,20.0
1102,Placed,15.78
1103,Placed,20.0
1104,Placed,18.6
1105,Placed,14.96
1106,Placed,14.74
1107,Placed,20.0
1108,Placed,20.0
1109,Not Placed,0.0
1110,Not Placed,0.0
1111,Placed,20.0
1112,Not Placed,0.0
1113,Placed,17.53
1114,Not Placed,0.0
1115,Placed,16.74
1116,Placed,19.15
1117,Not Placed,0.0
1118,Placed,17.0
1119,Placed,15.32
1120,Placed,16.75
1121,Placed,19.08
1122,Placed,15.09
1123,Placed,20.0
1124,Placed,17.59
1125,Placed,12.1
1126,Placed,16.41
1127,Placed,20.0
1128,Placed,15.14
1129,Placed,12.69
1130,Placed,10.79
1131,Not Placed,0.0
1132,Not Placed,0.0
1133,Placed,14.96
1134,Placed,19.98
1135,Placed,16.16
1136,Placed,12.58
1137,Placed,19.94
1138,Placed,16.65
1139,Not Placed,0.0
1140,Placed,17.11
1141,Placed,11.68
1142,Not Placed,0.0
1143,Placed,19.05
1144,Placed,14.43
1145,Placed,16.45
1146,Placed,19.82
1147,Placed,13.92
1148,Placed,20.0
1149,Not Placed,0.0
1150,Placed,15.29
1151,Placed,12.59
1152,Not Placed,0.0
1153,Placed,18.66
1154,Placed,16.37
1155,Placed,18.0
1156,Placed,13.9
1157,Placed,18.73
1158,Placed,15.49
1159,Placed,19.16
1160,Placed,20.0
1161,Placed,15.62
1162,Placed,14.33
1163,Placed,15.31
1164,Placed,16.84
1165,Placed,14.99
1166,Placed,16.83
1167,Placed,17.19
1168,Placed,16.76
1169,Placed,16.05
1170,Placed,12.73
1171,Placed,14.97
1172,Not Placed,0.0
1173,Placed,13.01
1174,Placed,16.97
1175,Placed,14.13
1176,Not Placed,0.0
1177,Not Placed,0.0
1178,Placed,17.4
1179,Placed,12.99
1180,Placed,20.0
1181,Placed,17.39
1182,Placed,17.58
1183,Placed,12.23
1184,Placed,15.41
1185,Placed,12.81
1186,Placed,20.0
1187,Not Placed,0.0
1188,Placed,20.0
1189,Placed,13.94
1190,Placed,16.47
1191,Placed,10.18
1192,Placed,19.14
1193,Placed,12.24
1194,Placed,20.0
1195,Placed,16.56
1196,Placed,20.0
1197,Placed,20.0
1198,Placed,13.49
1199,Placed,14.35
1200,Placed,17.38
1201,Not Placed,0.0
1202,Not Placed,0.0
1203,Placed,20.0
1204,Not Placed,0.0
1205,Placed,20.0
1206,Placed,17.79
1207,Placed,17.29
1208,Placed,5.26
1209,Placed,9.26
1210,Placed,18.49
1211,Placed,15.47
1212,Placed,12.07
1213,Placed,18.24
1214,Placed,9.05
1215,Placed,14.78
1216,Placed,15.37
1217,Placed,17.42
1218,Not Placed,0.0
1219,Placed,19.67
1220,Placed,18.39
1221,Placed,15.64
1222,Placed,13.86
1223,Placed,17.53
1224,Placed,12.04
1225,Placed,14.49
1226,Placed,6.85
1227,Placed,15.79
1228,Placed,20.0
1229,Placed,17.31
1230,Not Placed,0.0
1231,Placed,14.08
1232,Placed,20.0
1233,Not Placed,0.0
1234,Placed,19.31
1235,Placed,18.89
1236,Placed,12.11
1237,Placed,11.92
1238,Not Placed,0.0
1239,Placed,12.58
1240,Placed,14.18
1241,Placed,20.0
1242,Placed,14.65
1243,Placed,19.79
1244,Not Placed,0.0
1245,Placed,20.0
1246,Placed,12.78
1247,Placed,13.59
1248,Placed,14.9
1249,Placed,14.42
1250,Placed,20.0
1251,Placed,14.25
1252,Placed,11.06
1253,Placed,16.69
1254,Not Placed,0.0
1255,Placed,18.86
1256,Not Placed,0.0
1257,Placed,15.25
1258,Placed,9.14
1259,Placed,20.0
1260,Placed,17.4
1261,Placed,20.0
1262,Not Placed,0.0
1263,Not Placed,0.0
1264,Placed,16.73
1265,Placed,20.0
1266,Placed,20.0
1267,Placed,16.99
1268,Placed,14.41
1269,Placed,12.67
1270,Placed,9.77
1271,Placed,16.22
1272,Placed,18.61
1273,Placed,18.5
1274,Placed,18.62
1275,Placed,15.26
1276,Placed,15.78
1277,Placed,17.59
1278,Placed,10.17
1279,Placed,16.31
1280,Placed,16.34
1281,Placed,14.1
1282,Placed,13.93
1283,Placed,20.0
1284,Not Placed,0.0
1285,Placed,16.67
1286,Placed,10.36
1287,Placed,15.4
1288,Placed,11.89
1289,Placed,19.27
1290,Not Placed,0.0
1291,Not Placed,0.0
1292,Placed,16.42
1293,Placed,11.9
1294,Placed,14.11
1295,Placed,11.2
1296,Placed,20.0
1297,Placed,18.95
1298,Placed,17.33
1299,Placed,14.35
1300,Placed,12.09
1301,Not Placed,0.0
1302,Placed,15.16
1303,Placed,18.32
1304,Placed,14.45
1305,Placed,16.1
1306,Placed,16.8
1307,Placed,15.72
1308,Placed,15.39
1309,Not Placed,0.0
1310,Placed,16.8
1311,Placed,20.0
1312,Placed,15.07
1313,Placed,11.71
1314,Placed,17.79
1315,Placed,15.01
1316,Not Placed,0.0
1317,Placed,18.72
1318,Placed,18.61
1319,Not Placed,0.0
1320,Placed,17.55
1321,Placed,16.4
1322,Placed,18.98
1323,Placed,17.48
1324,Placed,18.29
1325,Placed,20.0
